"","Depth","X60km","X80km","X100km","X120km"
"303",30.2,839.03,714.3,635.51,581.02
"304",30.3,841.15,716,636.96,582.29
"305",30.4,843.27,717.7,638.4,583.55
"306",30.5,845.38,719.4,639.84,584.8
"307",30.6,847.49,721.1,641.27,586.06
"308",30.7,849.59,722.78,642.7,587.3
"309",30.8,851.69,724.47,644.12,588.55
"310",30.9,853.78,726.15,645.54,589.79
"311",31,855.87,727.83,646.96,591.02
"312",31.1,857.95,729.5,648.37,592.25
"313",31.2,860.03,731.17,649.77,593.48
"314",31.3,862.11,732.83,651.18,594.7
"315",31.4,864.18,734.49,652.57,595.92
"316",31.5,866.25,736.14,653.97,597.13
"317",31.6,868.31,737.79,655.36,598.34
"318",31.7,870.37,739.44,656.74,599.54
"319",31.8,872.43,741.08,658.12,600.74
"320",31.9,874.48,742.72,659.5,601.94
"321",32,876.52,744.35,660.87,603.13
"322",32.1,878.56,745.98,662.24,604.32
"323",32.2,880.6,747.6,663.6,605.5
"324",32.3,882.63,749.22,664.96,606.68
"325",32.4,884.66,750.83,666.31,607.85
"326",32.5,886.68,752.45,667.66,609.02
"327",32.6,888.7,754.05,669.01,610.19
"328",32.7,890.72,755.65,670.35,611.35
"329",32.8,892.73,757.25,671.69,612.5
"330",32.9,894.74,758.85,673.02,613.66
"331",33,896.74,760.43,674.35,614.8
"332",33.1,898.74,762.02,675.67,615.95
"333",33.2,900.73,763.6,676.99,617.09
"334",33.3,902.72,765.18,678.31,618.22
"335",33.4,904.7,766.75,679.62,619.35
"336",33.5,906.68,768.32,680.92,620.48
"337",33.6,908.66,769.88,682.23,621.6
"338",33.7,910.63,771.44,683.52,622.72
"339",33.8,912.6,772.99,684.82,623.83
"340",33.9,914.56,774.54,686.11,624.94
"341",34,916.52,776.09,687.39,626.04
"342",34.1,918.48,777.63,688.67,627.14
"343",34.2,920.43,779.17,689.95,628.24
"344",34.3,922.37,780.7,691.22,629.33
"345",34.4,924.31,782.23,692.49,630.42
"346",34.5,926.25,783.75,693.75,631.5
"347",34.6,928.18,785.27,695.01,632.58
"348",34.7,930.11,786.78,696.26,633.65
"349",34.8,932.03,788.3,697.51,634.72
"350",34.9,933.95,789.8,698.76,635.79
"351",35,935.87,791.3,700,636.85
"352",35.1,937.34,792.45,700.95,637.66
"353",35.2,938.8,793.6,701.9,638.47
"354",35.3,940.27,794.75,702.85,639.28
"355",35.4,941.74,795.9,703.8,640.09
"356",35.5,943.2,797.05,704.75,640.91
"357",35.6,944.67,798.2,705.7,641.72
"358",35.7,946.13,799.35,706.65,642.53
"359",35.8,947.6,800.5,707.6,643.34
"360",35.9,949.07,801.65,708.55,644.15
"361",36,950.53,802.8,709.5,644.96
"362",36.1,952,803.95,710.45,645.77
"363",36.2,953.46,805.1,711.39,646.58
"364",36.3,954.93,806.25,712.34,647.39
"365",36.4,956.4,807.4,713.29,648.2
"366",36.5,957.86,808.55,714.24,649.01
"367",36.6,959.33,809.69,715.19,649.83
"368",36.7,960.79,810.84,716.14,650.64
"369",36.8,962.26,811.99,717.09,651.45
"370",36.9,963.72,813.14,718.04,652.26
"371",37,965.19,814.29,718.99,653.07
"372",37.1,966.65,815.44,719.93,653.88
"373",37.2,968.12,816.59,720.88,654.69
"374",37.3,969.58,817.73,721.83,655.5
"375",37.4,971.05,818.88,722.78,656.31
"376",37.5,972.51,820.03,723.73,657.12
"377",37.6,973.98,821.18,724.68,657.93
"378",37.7,975.44,822.33,725.62,658.74
"379",37.8,976.91,823.48,726.57,659.55
"380",37.9,978.37,824.62,727.52,660.36
"381",38,979.84,825.77,728.47,661.16
"382",38.1,981.3,826.92,729.41,661.97
"383",38.2,982.77,828.07,730.36,662.78
"384",38.3,984.23,829.21,731.31,663.59
"385",38.4,985.69,830.36,732.26,664.4
"386",38.5,987.16,831.51,733.21,665.21
"387",38.6,988.62,832.66,734.15,666.02
"388",38.7,990.09,833.8,735.1,666.83
"389",38.8,991.55,834.95,736.05,667.64
"390",38.9,993.01,836.1,736.99,668.45
"391",39,994.48,837.25,737.94,669.26
"392",39.1,995.94,838.39,738.89,670.06
"393",39.2,997.4,839.54,739.84,670.87
"394",39.3,998.87,840.69,740.78,671.68
"395",39.4,1000.33,841.83,741.73,672.49
"396",39.5,1001.8,842.98,742.68,673.3
"397",39.6,1003.26,844.13,743.62,674.11
"398",39.7,1004.72,845.27,744.57,674.92
"399",39.8,1006.19,846.42,745.52,675.72
"400",39.9,1007.65,847.57,746.46,676.53
"401",40,1009.11,848.71,747.41,677.34
"402",40.1,1010.57,849.86,748.35,678.15
"403",40.2,1012.04,851.01,749.3,678.96
"404",40.3,1013.5,852.15,750.25,679.76
"405",40.4,1014.96,853.3,751.19,680.57
"406",40.5,1016.43,854.44,752.14,681.38
"407",40.6,1017.89,855.59,753.09,682.19
"408",40.7,1019.35,856.74,754.03,682.99
"409",40.8,1020.81,857.88,754.98,683.8
"410",40.9,1022.28,859.03,755.92,684.61
"411",41,1023.74,860.17,756.87,685.42
"412",41.1,1025.2,861.32,757.81,686.22
"413",41.2,1026.66,862.46,758.76,687.03
"414",41.3,1028.12,863.61,759.7,687.84
"415",41.4,1029.59,864.75,760.65,688.64
"416",41.5,1031.05,865.9,761.6,689.45
"417",41.6,1032.51,867.04,762.54,690.26
"418",41.7,1033.97,868.19,763.49,691.06
"419",41.8,1035.43,869.33,764.43,691.87
"420",41.9,1036.89,870.48,765.38,692.68
"421",42,1038.36,871.62,766.32,693.48
"422",42.1,1039.82,872.77,767.27,694.29
"423",42.2,1041.28,873.91,768.21,695.1
"424",42.3,1042.74,875.06,769.15,695.9
"425",42.4,1044.2,876.2,770.1,696.71
"426",42.5,1045.66,877.35,771.04,697.52
"427",42.6,1047.12,878.49,771.99,698.32
"428",42.7,1048.59,879.64,772.93,699.13
"429",42.8,1050.05,880.78,773.88,699.93
"430",42.9,1051.51,881.93,774.82,700.74
"431",43,1052.97,883.07,775.77,701.55
"432",43.1,1054.43,884.21,776.71,702.35
"433",43.2,1055.89,885.36,777.65,703.16
"434",43.3,1057.35,886.5,778.6,703.96
"435",43.4,1058.81,887.65,779.54,704.77
"436",43.5,1060.27,888.79,780.49,705.57
"437",43.6,1061.73,889.93,781.43,706.38
"438",43.7,1063.19,891.08,782.37,707.19
"439",43.8,1064.65,892.22,783.32,707.99
"440",43.9,1066.11,893.36,784.26,708.8
"441",44,1067.57,894.51,785.2,709.6
"442",44.1,1069.03,895.65,786.15,710.41
"443",44.2,1070.49,896.79,787.09,711.21
"444",44.3,1071.95,897.94,788.03,712.02
